"country","year","kWh","continent"
"Liechtenstein",1966,,"Europe"
"Lithuania",1966,,"Europe"
"Luxembourg",1966,3181896973.59948,"Europe"
"Macao, China",1966,,"Asia"
"Macedonia, FYR",1966,,"Europe"
"Madagascar",1966,,"Africa"
"Malawi",1966,,"Africa"
"Malaysia",1966,,"Asia"
"Maldives",1966,,"Asia"
"Mali",1966,,"Africa"
"Malta",1966,,"Europe"
"Marshall Islands",1966,,"Oceania"
"Martinique",1966,,"Americas"
"Mauritania",1966,,"Africa"
"Mauritius",1966,,"Africa"
"Mayotte",1966,,"Africa"
"Mexico",1966,,"Americas"
"Micronesia, Fed. Sts.",1966,,"Oceania"
"Moldova",1966,,"Europe"
"Monaco",1966,,"Europe"
"Mongolia",1966,,"Asia"
"Montenegro",1966,,"Europe"
"Montserrat",1966,,"Americas"
"Morocco",1966,,"Africa"
"Mozambique",1966,,"Africa"
"Myanmar",1966,,"Asia"
"Namibia",1966,,"Africa"
"Nauru",1966,,"Oceania"
"Nepal",1966,,"Asia"
"Netherlands",1966,25828452650.1593,"Europe"
"Netherlands Antilles",1966,,"Americas"
"New Caledonia",1966,,"Oceania"
"New Zealand",1966,9814134831.27172,"Oceania"
"Ngorno-Karabakh",1966,,
"Nicaragua",1966,,"Americas"
"Niger",1966,,"Africa"
"Nigeria",1966,,"Africa"
"Niue",1966,,"Oceania"
"Norfolk Island",1966,,"Oceania"
"Northern Cyprus",1966,,"Asia"
"Northern Mariana Islands",1966,,"Oceania"
"Norway",1966,43749242773.5376,"Europe"
"Oman",1966,,"Asia"
"Pakistan",1966,,"Asia"
"Palau",1966,,"Oceania"
"Panama",1966,,"Americas"
"Papua New Guinea",1966,,"Oceania"
"Paraguay",1966,,"Americas"
"Peru",1966,,"Americas"
"Philippines",1966,,"Asia"
"Pitcairn",1966,,"Oceania"
"Poland",1966,42825066835.3272,"Europe"
"Portugal",1966,4806738233.94719,"Europe"
"Puerto Rico",1966,,"Americas"
"Qatar",1966,,"Asia"
"Reunion",1966,,"Africa"
"Romania",1966,,"Europe"
"Russia",1966,,"Europe"
"Rwanda",1966,,"Africa"
"St. Barthélemy",1966,,"Americas"
"St. Helena",1966,,"Africa"
"St. Kitts and Nevis",1966,,"Americas"
"St. Lucia",1966,,"Americas"
"St. Martin",1966,,
"St. Vincent and the Grenadines",1966,,"Americas"
"St.-Pierre-et-Miquelon",1966,,"Americas"
"Samoa",1966,,"Oceania"
"San Marino",1966,,"Europe"
"Sao Tome and Principe",1966,,"Africa"
"Saudi Arabia",1966,,"Asia"
"Senegal",1966,,"Africa"
"Serbia",1966,,"Europe"
"Serbia and Montenegro",1966,,
"Serbia excluding Kosovo",1966,,"Europe"
"Seychelles",1966,,"Africa"
"Sierra Leone",1966,,"Africa"
"Singapore",1966,,"Asia"
"Slovak Republic",1966,,"Europe"
"Slovenia",1966,,"Europe"
"Solomon Islands",1966,,"Oceania"
"Somalia",1966,,"Africa"
"Somaliland",1966,,"Africa"
"South Africa",1966,,"Africa"
"South Ossetia",1966,,
"Spain",1966,30040073909.5394,"Europe"
"Sri Lanka",1966,,"Asia"
"Sudan",1966,,"Africa"
"Suriname",1966,,"Americas"
"Svalbard",1966,,"Europe"
"Swaziland",1966,,"Africa"
"Sweden",1966,43910961994.1451,"Europe"
"Switzerland",1966,21616498975.4988,"Europe"
"Syria",1966,,"Asia"
"Taiwan",1966,,"Asia"
"Tajikistan",1966,,"Asia"
"Tanzania",1966,,"Africa"
"Thailand",1966,,"Asia"
"Timor-Leste",1966,,"Asia"
"Togo",1966,,"Africa"
"Tokelau",1966,,"Oceania"
"Tonga",1966,,"Oceania"
"Transnistria",1966,,
"Trinidad and Tobago",1966,,"Americas"
"Tunisia",1966,,"Africa"
"Turkey",1966,4.968e+09,"Asia"
"Turkmenistan",1966,,"Asia"
"Turks and Caicos Islands",1966,,"Americas"
"Tuvalu",1966,,"Oceania"
"Uganda",1966,,"Africa"
"Ukraine",1966,,"Europe"
"United Arab Emirates",1966,,"Asia"
"United Kingdom",1966,187274978960.447,"Europe"
"United States",1966,1127330719311.54,"Americas"
"Uruguay",1966,,"Americas"
"USSR",1966,,"Europe"
"Uzbekistan",1966,,"Asia"
"Wallis et Futuna",1966,,"Oceania"
"Vanuatu",1966,,"Oceania"
"Venezuela",1966,,"Americas"
"West Bank and Gaza",1966,,"Asia"
"West Germany",1966,,"Europe"
"Western Sahara",1966,,"Africa"
"Vietnam",1966,,"Asia"
"Virgin Islands (U.S.)",1966,,"Americas"
"North Yemen (former)",1966,,
"South Yemen (former)",1966,,
"Yemen",1966,,"Asia"
"Yugoslavia",1966,,
"Zambia",1966,,"Africa"
"Zimbabwe",1966,,"Africa"
"Åland",1966,,"Europe"
"South Sudan",1966,,"Africa"
"Christian",1966,,
"Coastline",1966,,
"Curaçao",1966,,"Americas"
"Sint Maarten (Dutch part)",1966,,"Americas"
"St. Martin (French part)",1966,,"Americas"
"Antarctica",1966,,
"Virgin Islands, British",1966,,"Americas"
"Hawaiian Trade Zone",1966,,
"U.S. Pacific Islands",1966,,
"Wake Island",1966,,
"Bonaire",1966,,
"Sark",1966,,
"Chinese Taipei",1966,,"Asia"
"Saint Eustatius",1966,,
"Saba",1966,,
"Abkhazia",1967,,
"Afghanistan",1967,,"Asia"
"Akrotiri and Dhekelia",1967,,
"Albania",1967,,"Europe"
"Algeria",1967,,"Africa"
"American Samoa",1967,,"Oceania"
"Andorra",1967,,"Europe"
"Angola",1967,,"Africa"
"Anguilla",1967,,"Americas"
"Antigua and Barbuda",1967,,"Americas"
"Argentina",1967,,"Americas"
"Armenia",1967,,"Asia"
"Aruba",1967,,"Americas"
"Australia",1967,35313646498.0931,"Oceania"
"Austria",1967,18010229160.4254,"Europe"
"Azerbaijan",1967,,"Asia"
"Bahamas",1967,,"Americas"
"Bahrain",1967,,"Asia"
"Bangladesh",1967,,"Asia"
"Barbados",1967,,"Americas"
"Belarus",1967,,"Europe"
"Belgium",1967,22443029745.0441,"Europe"
"Belize",1967,,"Americas"
"Benin",1967,,"Africa"
"Bermuda",1967,,"Americas"
"Bhutan",1967,,"Asia"
"Bolivia",1967,,"Americas"
"Bosnia and Herzegovina",1967,,"Europe"
"Botswana",1967,,"Africa"
"Brazil",1967,,"Americas"
"British Virgin Islands",1967,,"Americas"
"Brunei",1967,,"Asia"
"Bulgaria",1967,,"Europe"
"Burkina Faso",1967,,"Africa"
"Burundi",1967,,"Africa"
"Cambodia",1967,,"Asia"
"Cameroon",1967,,"Africa"
"Canada",1967,156432700355.134,"Americas"
"Cape Verde",1967,,"Africa"
"Cayman Islands",1967,,"Americas"
"Central African Republic",1967,,"Africa"
"Chad",1967,,"Africa"
"Channel Islands",1967,,
"Chile",1967,,"Americas"
"China",1967,,"Asia"
"Christmas Island",1967,,"Oceania"
"Cocos Island",1967,,
"Colombia",1967,,"Americas"
"Comoros",1967,,"Africa"
"Congo, Dem. Rep.",1967,,"Africa"
"Congo, Rep.",1967,,"Africa"
"Cook Is",1967,,"Oceania"
"Costa Rica",1967,,"Americas"
"Cote d'Ivoire",1967,,"Africa"
"Croatia",1967,,"Europe"
"Cuba",1967,,"Americas"
"Cyprus",1967,,"Asia"
"Czech Republic",1967,,"Europe"
"Czechoslovakia",1967,,
"Denmark",1967,10280487000.5381,"Europe"
"Djibouti",1967,,"Africa"
"Dominica",1967,,"Americas"
"Dominican Republic",1967,,"Americas"
"East Germany",1967,,
"Ecuador",1967,,"Americas"
"Egypt",1967,,"Africa"
"El Salvador",1967,,"Americas"
"Equatorial Guinea",1967,,"Africa"
"Eritrea",1967,,"Africa"
"Eritrea and Ethiopia",1967,,
"Estonia",1967,,"Europe"
"Ethiopia",1967,,"Africa"
"Faeroe Islands",1967,,"Europe"
"Falkland Is (Malvinas)",1967,,"Americas"
"Fiji",1967,,"Oceania"
"Finland",1967,15333454722.6246,"Europe"
"France",1967,108576210804.046,"Europe"
"French Guiana",1967,,"Americas"
"French Polynesia",1967,,"Oceania"
"Gabon",1967,,"Africa"
"Gambia",1967,,"Africa"
"Georgia",1967,,"Asia"
"Germany",1967,182007340552.463,"Europe"
"Ghana",1967,,"Africa"
"Gibraltar",1967,,"Europe"
"Greece",1967,6417737797.91269,"Europe"
"Greenland",1967,,"Americas"
"Grenada",1967,,"Americas"
"Guadeloupe",1967,,"Americas"
"Guam",1967,,"Oceania"
"Guatemala",1967,,"Americas"
"Guernsey",1967,,"Europe"
"Guinea",1967,,"Africa"
"Guinea-Bissau",1967,,"Africa"
"Guyana",1967,,"Americas"
"Haiti",1967,,"Americas"
"Holy See",1967,,"Europe"
"Honduras",1967,,"Americas"
"Hong Kong, China",1967,,"Asia"
"Hungary",1967,13333836994.9545,"Europe"
"Iceland",1967,574872679.885887,"Europe"
"India",1967,,"Asia"
"Indonesia",1967,,"Asia"
"Iran",1967,,"Asia"
"Iraq",1967,,"Asia"
"Ireland",1967,3896178969.49129,"Europe"
"Isle of Man",1967,,"Europe"
"Israel",1967,,"Asia"
"Italy",1967,88413435024.8107,"Europe"
"Jamaica",1967,,"Americas"
"Japan",1967,224718673100.025,"Asia"
"Jersey",1967,,"Europe"
"Jordan",1967,,"Asia"
"Kazakhstan",1967,,"Asia"
"Kenya",1967,,"Africa"
"Kiribati",1967,,"Oceania"
"North Korea",1967,,"Asia"
"South Korea",1967,,"Asia"
"United Korea (former)
",1967,,"Asia"
"Kosovo",1967,,
"Kuwait",1967,,"Asia"
"Kyrgyz Republic",1967,,"Asia"
"Lao",1967,,"Asia"
"Latvia",1967,,"Europe"
"Lebanon",1967,,"Asia"
"Lesotho",1967,,"Africa"
"Liberia",1967,,"Africa"
"Libya",1967,,"Africa"
"Liechtenstein",1967,,"Europe"
"Lithuania",1967,,"Europe"
"Luxembourg",1967,3177790465.52934,"Europe"
"Macao, China",1967,,"Asia"
"Macedonia, FYR",1967,,"Europe"
"Madagascar",1967,,"Africa"
"Malawi",1967,,"Africa"
"Malaysia",1967,,"Asia"
"Maldives",1967,,"Asia"
"Mali",1967,,"Africa"
"Malta",1967,,"Europe"
"Marshall Islands",1967,,"Oceania"
"Martinique",1967,,"Americas"
"Mauritania",1967,,"Africa"
"Mauritius",1967,,"Africa"
"Mayotte",1967,,"Africa"
"Mexico",1967,,"Americas"
"Micronesia, Fed. Sts.",1967,,"Oceania"
"Moldova",1967,,"Europe"
"Monaco",1967,,"Europe"
"Mongolia",1967,,"Asia"
"Montenegro",1967,,"Europe"
"Montserrat",1967,,"Americas"
"Morocco",1967,,"Africa"
"Mozambique",1967,,"Africa"
"Myanmar",1967,,"Asia"
"Namibia",1967,,"Africa"
"Nauru",1967,,"Oceania"
"Nepal",1967,,"Asia"
"Netherlands",1967,28093478737.7976,"Europe"
"Netherlands Antilles",1967,,"Americas"
"New Caledonia",1967,,"Oceania"
"New Zealand",1967,10039171127.7119,"Oceania"
"Ngorno-Karabakh",1967,,
"Nicaragua",1967,,"Americas"
"Niger",1967,,"Africa"
"Nigeria",1967,,"Africa"
"Niue",1967,,"Oceania"
"Norfolk Island",1967,,"Oceania"
"Northern Cyprus",1967,,"Asia"
"Northern Mariana Islands",1967,,"Oceania"
"Norway",1967,46387465765.0509,"Europe"
"Oman",1967,,"Asia"
"Pakistan",1967,,"Asia"
"Palau",1967,,"Oceania"
"Panama",1967,,"Americas"
"Papua New Guinea",1967,,"Oceania"
"Paraguay",1967,,"Americas"
"Peru",1967,,"Americas"
"Philippines",1967,,"Asia"
"Pitcairn",1967,,"Oceania"
"Poland",1967,47111365174.6772,"Europe"
"Portugal",1967,5029631723.18052,"Europe"
"Puerto Rico",1967,,"Americas"
"Qatar",1967,,"Asia"
"Reunion",1967,,"Africa"
"Romania",1967,,"Europe"
"Russia",1967,,"Europe"
"Rwanda",1967,,"Africa"
"St. Barthélemy",1967,,"Americas"
"St. Helena",1967,,"Africa"
"St. Kitts and Nevis",1967,,"Americas"
"St. Lucia",1967,,"Americas"
"St. Martin",1967,,
"St. Vincent and the Grenadines",1967,,"Americas"
"St.-Pierre-et-Miquelon",1967,,"Americas"
"Samoa",1967,,"Oceania"
"San Marino",1967,,"Europe"
"Sao Tome and Principe",1967,,"Africa"
"Saudi Arabia",1967,,"Asia"
"Senegal",1967,,"Africa"
"Serbia",1967,,"Europe"
"Serbia and Montenegro",1967,,
"Serbia excluding Kosovo",1967,,"Europe"
"Seychelles",1967,,"Africa"
"Sierra Leone",1967,,"Africa"
"Singapore",1967,,"Asia"
"Slovak Republic",1967,,"Europe"
"Slovenia",1967,,"Europe"
"Solomon Islands",1967,,"Oceania"
"Somalia",1967,,"Africa"
"Somaliland",1967,,"Africa"
"South Africa",1967,,"Africa"
"South Ossetia",1967,,
"Spain",1967,33854516138.3397,"Europe"
"Sri Lanka",1967,,"Asia"
"Sudan",1967,,"Africa"
"Suriname",1967,,"Americas"
"Svalbard",1967,,"Europe"
"Swaziland",1967,,"Africa"
"Sweden",1967,47317628304.3153,"Europe"
"Switzerland",1967,22465987598.8541,"Europe"
"Syria",1967,,"Asia"
"Taiwan",1967,,"Asia"
"Tajikistan",1967,,"Asia"
"Tanzania",1967,,"Africa"
"Thailand",1967,,"Asia"
"Timor-Leste",1967,,"Asia"
"Togo",1967,,"Africa"
"Tokelau",1967,,"Oceania"
"Tonga",1967,,"Oceania"
"Transnistria",1967,,
"Trinidad and Tobago",1967,,"Americas"
"Tunisia",1967,,"Africa"
"Turkey",1967,5.53e+09,"Asia"
"Turkmenistan",1967,,"Asia"
"Turks and Caicos Islands",1967,,"Americas"
"Tuvalu",1967,,"Oceania"
"Uganda",1967,,"Africa"
"Ukraine",1967,,"Europe"
"United Arab Emirates",1967,,"Asia"
"United Kingdom",1967,192717625928.479,"Europe"
"United States",1967,1199560045381.7,"Americas"
"Uruguay",1967,,"Americas"
"USSR",1967,,"Europe"
"Uzbekistan",1967,,"Asia"
"Wallis et Futuna",1967,,"Oceania"
"Vanuatu",1967,,"Oceania"
"Venezuela",1967,,"Americas"
"West Bank and Gaza",1967,,"Asia"
"West Germany",1967,,"Europe"
"Western Sahara",1967,,"Africa"
"Vietnam",1967,,"Asia"
"Virgin Islands (U.S.)",1967,,"Americas"
"North Yemen (former)",1967,,
"South Yemen (former)",1967,,
"Yemen",1967,,"Asia"
"Yugoslavia",1967,,
"Zambia",1967,,"Africa"
"Zimbabwe",1967,,"Africa"
"Åland",1967,,"Europe"
"South Sudan",1967,,"Africa"
"Christian",1967,,
"Coastline",1967,,
"Curaçao",1967,,"Americas"
"Sint Maarten (Dutch part)",1967,,"Americas"
"St. Martin (French part)",1967,,"Americas"
"Antarctica",1967,,
"Virgin Islands, British",1967,,"Americas"
"Hawaiian Trade Zone",1967,,
"U.S. Pacific Islands",1967,,
"Wake Island",1967,,
"Bonaire",1967,,
"Sark",1967,,
"Chinese Taipei",1967,,"Asia"
"Saint Eustatius",1967,,
"Saba",1967,,
"Abkhazia",1968,,
"Afghanistan",1968,,"Asia"
"Akrotiri and Dhekelia",1968,,
"Albania",1968,,"Europe"
"Algeria",1968,,"Africa"
"American Samoa",1968,,"Oceania"
"Andorra",1968,,"Europe"
"Angola",1968,,"Africa"
"Anguilla",1968,,"Americas"
"Antigua and Barbuda",1968,,"Americas"
"Argentina",1968,,"Americas"
"Armenia",1968,,"Asia"
"Aruba",1968,,"Americas"
"Australia",1968,37769247230.5771,"Oceania"
"Austria",1968,19289735398.6021,"Europe"
"Azerbaijan",1968,,"Asia"
"Bahamas",1968,,"Americas"
"Bahrain",1968,,"Asia"
"Bangladesh",1968,,"Asia"
"Barbados",1968,,"Americas"
"Belarus",1968,,"Europe"
"Belgium",1968,24807521756.8675,"Europe"
"Belize",1968,,"Americas"
"Benin",1968,,"Africa"
"Bermuda",1968,,"Americas"
"Bhutan",1968,,"Asia"
"Bolivia",1968,,"Americas"
"Bosnia and Herzegovina",1968,,"Europe"
"Botswana",1968,,"Africa"
"Brazil",1968,,"Americas"
"British Virgin Islands",1968,,"Americas"
"Brunei",1968,,"Asia"
"Bulgaria",1968,,"Europe"
"Burkina Faso",1968,,"Africa"
"Burundi",1968,,"Africa"
"Cambodia",1968,,"Asia"
"Cameroon",1968,,"Africa"
"Canada",1968,168090438026.803,"Americas"
"Cape Verde",1968,,"Africa"
"Cayman Islands",1968,,"Americas"
"Central African Republic",1968,,"Africa"
"Chad",1968,,"Africa"
"Channel Islands",1968,,
"Chile",1968,,"Americas"
"China",1968,,"Asia"
"Christmas Island",1968,,"Oceania"
"Cocos Island",1968,,
"Colombia",1968,,"Americas"
"Comoros",1968,,"Africa"
"Congo, Dem. Rep.",1968,,"Africa"
"Congo, Rep.",1968,,"Africa"
"Cook Is",1968,,"Oceania"
"Costa Rica",1968,,"Americas"
"Cote d'Ivoire",1968,,"Africa"
"Croatia",1968,,"Europe"
"Cuba",1968,,"Americas"
"Cyprus",1968,,"Asia"
"Czech Republic",1968,,"Europe"
"Czechoslovakia",1968,,
"Denmark",1968,11377894707.8481,"Europe"
"Djibouti",1968,,"Africa"
"Dominica",1968,,"Americas"
"Dominican Republic",1968,,"Americas"
"East Germany",1968,,
"Ecuador",1968,,"Americas"
"Egypt",1968,,"Africa"
"El Salvador",1968,,"Americas"
"Equatorial Guinea",1968,,"Africa"
"Eritrea",1968,,"Africa"
"Eritrea and Ethiopia",1968,,
"Estonia",1968,,"Europe"
"Ethiopia",1968,,"Africa"
"Faeroe Islands",1968,,"Europe"
"Falkland Is (Malvinas)",1968,,"Americas"
"Fiji",1968,,"Oceania"
"Finland",1968,16649874094.4768,"Europe"
"France",1968,113440046740.827,"Europe"
"French Guiana",1968,,"Americas"
"French Polynesia",1968,,"Oceania"
"Gabon",1968,,"Africa"
"Gambia",1968,,"Africa"
"Georgia",1968,,"Asia"
"Germany",1968,199872881058.237,"Europe"
"Ghana",1968,,"Africa"
"Gibraltar",1968,,"Europe"
"Greece",1968,6982004772.00794,"Europe"
"Greenland",1968,,"Americas"
"Grenada",1968,,"Americas"
"Guadeloupe",1968,,"Americas"
"Guam",1968,,"Oceania"
"Guatemala",1968,,"Americas"
"Guernsey",1968,,"Europe"
"Guinea",1968,,"Africa"
"Guinea-Bissau",1968,,"Africa"
"Guyana",1968,,"Americas"
"Haiti",1968,,"Americas"
"Holy See",1968,,"Europe"
"Honduras",1968,,"Americas"
"Hong Kong, China",1968,,"Asia"
"Hungary",1968,14134593102.7422,"Europe"
"Iceland",1968,596371094.060192,"Europe"
"India",1968,,"Asia"
"Indonesia",1968,,"Asia"
"Iran",1968,,"Asia"
"Iraq",1968,,"Asia"
"Ireland",1968,4368805192.84526,"Europe"
"Isle of Man",1968,,"Europe"
"Israel",1968,,"Asia"
"Italy",1968,95882063008.035,"Europe"
"Jamaica",1968,,"Americas"
"Japan",1968,253823820346.128,"Asia"
"Jersey",1968,,"Europe"
"Jordan",1968,,"Asia"
"Kazakhstan",1968,,"Asia"
"Kenya",1968,,"Africa"
"Kiribati",1968,,"Oceania"
"North Korea",1968,,"Asia"
"South Korea",1968,,"Asia"
"United Korea (former)
",1968,,"Asia"
"Kosovo",1968,,
"Kuwait",1968,,"Asia"
"Kyrgyz Republic",1968,,"Asia"
"Lao",1968,,"Asia"
"Latvia",1968,,"Europe"
"Lebanon",1968,,"Asia"
"Lesotho",1968,,"Africa"
"Liberia",1968,,"Africa"
"Libya",1968,,"Africa"
"Liechtenstein",1968,,"Europe"
"Lithuania",1968,,"Europe"
"Luxembourg",1968,3090448977.22197,"Europe"
"Macao, China",1968,,"Asia"
"Macedonia, FYR",1968,,"Europe"
"Madagascar",1968,,"Africa"
"Malawi",1968,,"Africa"
"Malaysia",1968,,"Asia"
"Maldives",1968,,"Asia"
"Mali",1968,,"Africa"
"Malta",1968,,"Europe"
"Marshall Islands",1968,,"Oceania"
"Martinique",1968,,"Americas"
"Mauritania",1968,,"Africa"
"Mauritius",1968,,"Africa"
"Mayotte",1968,,"Africa"
"Mexico",1968,,"Americas"
"Micronesia, Fed. Sts.",1968,,"Oceania"
"Moldova",1968,,"Europe"
"Monaco",1968,,"Europe"
"Mongolia",1968,,"Asia"
"Montenegro",1968,,"Europe"
"Montserrat",1968,,"Americas"
"Morocco",1968,,"Africa"
"Mozambique",1968,,"Africa"
"Myanmar",1968,,"Asia"
"Namibia",1968,,"Africa"
"Nauru",1968,,"Oceania"
"Nepal",1968,,"Asia"
"Netherlands",1968,31514846821.5446,"Europe"
"Netherlands Antilles",1968,,"Americas"
"New Caledonia",1968,,"Oceania"
"New Zealand",1968,10625967226.8113,"Oceania"
"Ngorno-Karabakh",1968,,
"Nicaragua",1968,,"Americas"
"Niger",1968,,"Africa"
"Nigeria",1968,,"Africa"
"Niue",1968,,"Oceania"
"Norfolk Island",1968,,"Oceania"
"Northern Cyprus",1968,,"Asia"
"Northern Mariana Islands",1968,,"Oceania"
"Norway",1968,51497817968.1519,"Europe"
"Oman",1968,,"Asia"
"Pakistan",1968,,"Asia"
"Palau",1968,,"Oceania"
"Panama",1968,,"Americas"
"Papua New Guinea",1968,,"Oceania"
"Paraguay",1968,,"Americas"
"Peru",1968,,"Americas"
"Philippines",1968,,"Asia"
"Pitcairn",1968,,"Oceania"
"Poland",1968,50981944526.5168,"Europe"
"Portugal",1968,5360888956.10893,"Europe"
"Puerto Rico",1968,,"Americas"
"Qatar",1968,,"Asia"
"Reunion",1968,,"Africa"
"Romania",1968,,"Europe"
"Russia",1968,,"Europe"
"Rwanda",1968,,"Africa"
"St. Barthélemy",1968,,"Americas"
"St. Helena",1968,,"Africa"
"St. Kitts and Nevis",1968,,"Americas"
"St. Lucia",1968,,"Americas"
"St. Martin",1968,,
"St. Vincent and the Grenadines",1968,,"Americas"
"St.-Pierre-et-Miquelon",1968,,"Americas"
"Samoa",1968,,"Oceania"
"San Marino",1968,,"Europe"
"Sao Tome and Principe",1968,,"Africa"
"Saudi Arabia",1968,,"Asia"
"Senegal",1968,,"Africa"
"Serbia",1968,,"Europe"
"Serbia and Montenegro",1968,,
"Serbia excluding Kosovo",1968,,"Europe"
"Seychelles",1968,,"Africa"
"Sierra Leone",1968,,"Africa"
"Singapore",1968,,"Asia"
"Slovak Republic",1968,,"Europe"
"Slovenia",1968,,"Europe"
"Solomon Islands",1968,,"Oceania"
"Somalia",1968,,"Africa"
"Somaliland",1968,,"Africa"
"South Africa",1968,,"Africa"
"South Ossetia",1968,,
"Spain",1968,38212581654.4577,"Europe"
"Sri Lanka",1968,,"Asia"
"Sudan",1968,,"Africa"
"Suriname",1968,,"Americas"
"Svalbard",1968,,"Europe"
"Swaziland",1968,,"Africa"
"Sweden",1968,51641371463.2951,"Europe"
"Switzerland",1968,23329511033.315,"Europe"
"Syria",1968,,"Asia"
"Taiwan",1968,,"Asia"
"Tajikistan",1968,,"Asia"
"Tanzania",1968,,"Africa"
"Thailand",1968,,"Asia"
"Timor-Leste",1968,,"Asia"
"Togo",1968,,"Africa"
"Tokelau",1968,,"Oceania"
"Tonga",1968,,"Oceania"
"Transnistria",1968,,
"Trinidad and Tobago",1968,,"Americas"
"Tunisia",1968,,"Africa"
"Turkey",1968,6.139e+09,"Asia"
"Turkmenistan",1968,,"Asia"
"Turks and Caicos Islands",1968,,"Americas"
"Tuvalu",1968,,"Oceania"
"Uganda",1968,,"Africa"
"Ukraine",1968,,"Europe"
"United Arab Emirates",1968,,"Asia"
"United Kingdom",1968,207743270539.849,"Europe"
"United States",1968,1313313377369.88,"Americas"
"Uruguay",1968,,"Americas"
"USSR",1968,,"Europe"
"Uzbekistan",1968,,"Asia"
"Wallis et Futuna",1968,,"Oceania"
"Vanuatu",1968,,"Oceania"
"Venezuela",1968,,"Americas"
"West Bank and Gaza",1968,,"Asia"
"West Germany",1968,,"Europe"
"Western Sahara",1968,,"Africa"
"Vietnam",1968,,"Asia"
"Virgin Islands (U.S.)",1968,,"Americas"
"North Yemen (former)",1968,,
"South Yemen (former)",1968,,
"Yemen",1968,,"Asia"
"Yugoslavia",1968,,
"Zambia",1968,,"Africa"
"Zimbabwe",1968,,"Africa"
"Åland",1968,,"Europe"
"South Sudan",1968,,"Africa"
"Christian",1968,,
"Coastline",1968,,
"Curaçao",1968,,"Americas"
"Sint Maarten (Dutch part)",1968,,"Americas"
"St. Martin (French part)",1968,,"Americas"
"Antarctica",1968,,
"Virgin Islands, British",1968,,"Americas"
"Hawaiian Trade Zone",1968,,
"U.S. Pacific Islands",1968,,
"Wake Island",1968,,
"Bonaire",1968,,
"Sark",1968,,
"Chinese Taipei",1968,,"Asia"
"Saint Eustatius",1968,,
"Saba",1968,,
"Abkhazia",1969,,
"Afghanistan",1969,,"Asia"
"Akrotiri and Dhekelia",1969,,
"Albania",1969,,"Europe"
"Algeria",1969,,"Africa"
"American Samoa",1969,,"Oceania"
"Andorra",1969,,"Europe"
"Angola",1969,,"Africa"
"Anguilla",1969,,"Americas"
"Antigua and Barbuda",1969,,"Americas"
"Argentina",1969,,"Americas"
"Armenia",1969,,"Asia"
"Aruba",1969,,"Americas"
"Australia",1969,41477939775.6666,"Oceania"
"Austria",1969,20917314259.3355,"Europe"
"Azerbaijan",1969,,"Asia"
"Bahamas",1969,,"Americas"
"Bahrain",1969,,"Asia"
"Bangladesh",1969,,"Asia"
"Barbados",1969,,"Americas"
"Belarus",1969,,"Europe"
"Belgium",1969,27145415972.9099,"Europe"
"Belize",1969,,"Americas"
"Benin",1969,,"Africa"
"Bermuda",1969,,"Americas"
"Bhutan",1969,,"Asia"
"Bolivia",1969,,"Americas"
"Bosnia and Herzegovina",1969,,"Europe"
"Botswana",1969,,"Africa"
"Brazil",1969,,"Americas"
"British Virgin Islands",1969,,"Americas"
"Brunei",1969,,"Asia"
"Bulgaria",1969,,"Europe"
"Burkina Faso",1969,,"Africa"
"Burundi",1969,,"Africa"
"Cambodia",1969,,"Asia"
"Cameroon",1969,,"Africa"
"Canada",1969,182114453015.028,"Americas"
"Cape Verde",1969,,"Africa"
"Cayman Islands",1969,,"Americas"
"Central African Republic",1969,,"Africa"
"Chad",1969,,"Africa"
"Channel Islands",1969,,
"Chile",1969,,"Americas"
"China",1969,,"Asia"
"Christmas Island",1969,,"Oceania"
"Cocos Island",1969,,
"Colombia",1969,,"Americas"
"Comoros",1969,,"Africa"
"Congo, Dem. Rep.",1969,,"Africa"
"Congo, Rep.",1969,,"Africa"
"Cook Is",1969,,"Oceania"
"Costa Rica",1969,,"Americas"
"Cote d'Ivoire",1969,,"Africa"
"Croatia",1969,,"Europe"
"Cuba",1969,,"Americas"
"Cyprus",1969,,"Asia"
"Czech Republic",1969,,"Europe"
"Czechoslovakia",1969,,
"Denmark",1969,12832332980.0935,"Europe"
"Djibouti",1969,,"Africa"
"Dominica",1969,,"Americas"
"Dominican Republic",1969,,"Americas"
"East Germany",1969,,
"Ecuador",1969,,"Americas"
"Egypt",1969,,"Africa"
"El Salvador",1969,,"Americas"
"Equatorial Guinea",1969,,"Africa"
"Eritrea",1969,,"Africa"
"Eritrea and Ethiopia",1969,,
"Estonia",1969,,"Europe"
"Ethiopia",1969,,"Africa"
"Faeroe Islands",1969,,"Europe"
"Falkland Is (Malvinas)",1969,,"Americas"
"Fiji",1969,,"Oceania"
"Finland",1969,18708812472.4657,"Europe"
"France",1969,124507975087.932,"Europe"
"French Guiana",1969,,"Americas"
"French Polynesia",1969,,"Oceania"
"Gabon",1969,,"Africa"
"Gambia",1969,,"Africa"
"Georgia",1969,,"Asia"
"Germany",1969,219195014740.838,"Europe"
"Ghana",1969,,"Africa"
"Gibraltar",1969,,"Europe"
"Greece",1969,8026157668.21038,"Europe"
"Greenland",1969,,"Americas"
"Grenada",1969,,"Americas"
"Guadeloupe",1969,,"Americas"
"Guam",1969,,"Oceania"
"Guatemala",1969,,"Americas"
"Guernsey",1969,,"Europe"
